id,months_on_book,status,dpd,payment_amount
100003,34,On-time,2,8930
100003,35,On-time,0,27828
100003,36,On-time,1,12651
100003,37,On-time,5,61297
100003,38,On-time,4,29119
100003,39,On-time,2,35984
100003,40,On-time,1,60470
100003,41,On-time,1,29164
100003,42,On-time,3,8280
100003,43,On-time,3,4831
100003,44,On-time,3,30104
100003,45,On-time,5,43349
100004,1,On-time,0,9918
100004,2,On-time,2,19150
100004,3,On-time,1,36325
100004,4,On-time,4,58648
100004,5,On-time,0,47971
100004,6,On-time,3,15883
100004,7,On-time,1,48203
100004,8,On-time,1,44711
100004,9,On-time,2,33208
100004,10,On-time,1,37209
100004,11,On-time,1,34424
100004,12,On-time,3,24882
100004,13,On-time,3,28149
100004,14,On-time,7,32640
100004,15,On-time,2,46523
100004,16,On-time,5,34063
100004,17,On-time,3,31873
100004,18,On-time,1,18644
100004,19,On-time,1,10465
100004,20,On-time,1,24291
100004,21,On-time,3,60396
100004,22,On-time,4,24615
100004,23,On-time,5,18841
100004,24,On-time,1,49073
100004,25,On-time,5,18137
100004,26,On-time,4,25769
100004,27,On-time,3,19453
100004,28,On-time,4,29294
100004,29,On-time,3,25377
100004,30,On-time,3,41773
100004,31,On-time,6,57535
100004,32,On-time,2,13905
100004,33,On-time,4,29312
100004,34,On-time,6,47105
100004,35,On-time,5,55658
100005,1,On-time,1,8525
100005,2,On-time,0,14049
100005,3,On-time,2,16353
100005,4,On-time,3,51923
100005,5,On-time,1,62656
100005,6,On-time,5,43257
100005,7,On-time,4,31452
100005,8,On-time,2,12826
100005,9,On-time,4,4963
100005,10,On-time,4,28663
100005,11,On-time,5,34100
100005,12,On-time,4,59260
100005,13,On-time,3,48656
100005,14,On-time,2,15575
100005,15,On-time,3,30209
100005,16,On-time,2,44815
100005,17,On-time,3,39209
100005,18,On-time,2,17510
100005,19,On-time,3,2397
100005,20,On-time,2,42512
100005,21,On-time,3,2105
100005,22,On-time,4,37945
100005,23,On-time,2,38815
100005,24,On-time,3,10152
100005,25,On-time,0,51426
100005,26,On-time,2,33729
100005,27,On-time,4,32030
100005,28,On-time,5,39524
100005,29,On-time,3,50601
100005,30,On-time,4,56143
100005,31,On-time,2,21914
100005,32,On-time,4,29403
100005,33,On-time,2,16230
100005,34,On-time,2,39424
100005,35,On-time,2,40041
100005,36,On-time,2,57827
100005,37,On-time,3,29398
100005,38,On-time,2,45154
100006,1,On-time,6,6304
100006,2,On-time,1,35558
100006,3,On-time,0,11727
100006,4,On-time,2,58950
100006,5,On-time,1,53259
100006,6,On-time,2,61029
100006,7,On-time,8,58730
100007,1,Late,14,34851
100007,2,Late,14,51162
100007,3,Late,13,57328
100007,4,Late,12,57323
100007,5,On-time,9,10638
100007,6,Late,18,41963
100007,7,Late,15,37741
100007,8,Late,27,2698
100007,9,Late,14,28947
100007,10,On-time,7,38263
100007,11,Late,24,13613
100007,12,Late,25,30249
100007,13,Late,20,38803
100007,14,Late,28,40139
100007,15,On-time,9,21187
100007,16,Late,22,3947
100007,17,On-time,10,62128
100007,18,Late,21,10908
100007,19,On-time,8,58391
100007,20,Late,22,41112
100007,21,Late,27,19174
100007,22,Late,17,13913
100007,23,Late,15,56486
100007,24,Late,13,49437
100007,25,Late,17,9049
100007,26,Late,18,24571
100007,27,Late,16,10193
100007,28,Late,13,45331
100007,29,Late,16,58080
100007,30,Late,13,18270
100007,31,On-time,10,42871
100007,32,Late,18,64309
100007,33,Late,23,3506
100007,34,Late,28,6713
100007,35,On-time,10,52799
100007,36,Late,14,38136
100007,37,Late,14,11030
100007,38,Late,26,48628
100007,39,Late,23,56689
100008,1,On-time,3,61477
100008,2,On-time,2,40895
100008,3,On-time,5,59114
100008,4,On-time,5,9488
100008,5,On-time,1,37254
100008,6,On-time,3,29614
100008,7,On-time,8,63408
100008,8,On-time,3,57427
100008,9,On-time,6,24574
100008,10,On-time,1,22698
100008,11,On-time,3,59851
100008,12,On-time,2,12009
100008,13,On-time,1,26680
100008,14,On-time,2,49568
100008,15,On-time,3,46933
100008,16,On-time,4,18060
100008,17,On-time,2,44781
100008,18,On-time,2,44174
100008,19,On-time,3,59480
100008,20,On-time,5,40438
100008,21,On-time,3,36891
100008,22,On-time,3,30231
100008,23,On-time,2,20662
100008,24,On-time,1,49844
100008,25,On-time,3,54404
100008,26,On-time,4,26736
100008,27,On-time,2,38633
100008,28,On-time,1,12879
100008,29,On-time,5,5840
100008,30,On-time,2,6255
100008,31,On-time,2,50231
100008,32,On-time,5,58928
100008,33,On-time,1,54322
100008,34,On-time,3,43366
100008,35,On-time,6,50259
100008,36,On-time,4,21405
100008,37,On-time,6,19759
100008,38,On-time,0,32755
100008,39,On-time,3,38226
100008,40,On-time,5,36404
100008,41,On-time,3,45056
100008,42,On-time,4,43313
100008,43,On-time,1,33114
100008,44,On-time,7,2006
100008,45,On-time,2,10099
100008,46,On-time,4,23274
100009,1,On-time,1,59931
100009,2,On-time,8,47311
100009,3,On-time,3,30224
100009,4,On-time,1,28385
100009,5,On-time,4,46060
100009,6,On-time,4,15113
100009,7,On-time,3,15816
100009,8,On-time,5,7587
100009,9,On-time,4,37201
100009,10,On-time,4,20165
100009,11,On-time,2,42532
100009,12,On-time,0,35648
100010,1,On-time,2,55040
100010,2,On-time,3,9356
100010,3,On-time,4,30111
100010,4,On-time,3,62588
100010,5,On-time,4,10865
100010,6,On-time,3,35873
100010,7,On-time,1,7164
100010,8,On-time,1,24823
100010,9,On-time,5,27955
100010,10,On-time,1,55769
100010,11,On-time,3,6879
100010,12,On-time,5,45853
100010,13,On-time,2,3624
100010,14,On-time,4,47689
100010,15,On-time,3,33036
100010,16,On-time,3,6491
100010,17,On-time,4,8294
100010,18,On-time,5,30718
100010,19,On-time,3,52098
100010,20,On-time,3,32613
100010,21,On-time,2,37574
100010,22,On-time,3,29477
100010,23,On-time,3,29859
100010,24,On-time,1,53024
100010,25,On-time,5,50802
100010,26,On-time,6,50173
100010,27,On-time,1,19543
100011,1,On-time,3,47532
100011,2,On-time,4,50678
100011,3,On-time,1,6661
100011,4,On-time,3,2464
100011,5,On-time,3,17442
100011,6,On-time,1,56859
100011,7,On-time,3,53748
100011,8,On-time,2,50723
100011,9,On-time,5,39869
100011,10,On-time,5,15684
100011,11,On-time,6,4447
100011,12,On-time,3,44775
100011,13,On-time,2,46357
100011,14,On-time,1,7738
100011,15,On-time,2,55142
100011,16,On-time,1,14656
100011,17,On-time,3,3911
100011,18,On-time,4,17174
100011,19,On-time,4,9808
100011,20,On-time,1,44671
100011,21,On-time,1,4424
100011,22,On-time,5,37105
100011,23,On-time,3,2076
100011,24,On-time,0,16141
100011,25,On-time,8,10463
100011,26,On-time,2,25791
100011,27,On-time,5,42659
100011,28,On-time,3,34228
100011,29,On-time,2,52407
100011,30,On-time,7,42639
100011,31,On-time,0,20289
100011,32,On-time,3,41151
100011,33,On-time,4,58815
100011,34,On-time,4,29399
100011,35,On-time,4,17158
100011,36,On-time,8,40407
100011,37,On-time,4,15684
100011,38,On-time,2,33247
100011,39,On-time,1,63592
100011,40,On-time,2,14465
100011,41,On-time,0,11993
100011,42,On-time,4,53640
100011,43,On-time,3,56436
100011,44,On-time,1,27678
100011,45,On-time,3,35387
100011,46,On-time,6,3714
100011,47,On-time,4,9500
100012,1,On-time,7,14723
100012,2,On-time,3,62957
100012,3,On-time,2,32895
100012,4,On-time,4,62714
100012,5,On-time,2,31761
100012,6,On-time,6,61466
100012,7,On-time,3,11484
100012,8,On-time,1,4298
100012,9,On-time,2,9103
100012,10,On-time,6,47551
100012,11,On-time,4,13204
100013,1,On-time,1,36712
100013,2,On-time,3,45043
100013,3,On-time,4,42600
100013,4,On-time,2,63179
100013,5,On-time,7,59135
100013,6,On-time,3,53516
100013,7,On-time,4,54829
100013,8,On-time,6,36875
100013,9,On-time,4,21820
100014,1,Late,12,16105
100014,2,On-time,8,36781
100014,3,Late,28,43260
100014,4,Late,11,10833
100014,5,Late,20,50493
100014,6,Late,11,31287
100014,7,On-time,10,15423
100014,8,Late,21,53704
100014,9,Late,21,36299
100014,10,Late,18,52160
100014,11,Late,14,43570
100014,12,Late,21,5829
100014,13,Late,29,51564
100014,14,Late,16,55895
100014,15,Late,12,6822
100014,16,On-time,10,35323
100014,17,Late,22,32576
100014,18,Late,17,58282
100014,19,Late,20,41375
100014,20,Late,13,39938
100014,21,Late,13,46649
100014,22,Late,23,15333
100014,23,Late,15,19634
100014,24,Late,14,9075
100014,25,On-time,10,12863
100014,26,Late,14,24271
100014,27,Late,15,30229
100014,28,Late,13,37280
100014,29,Late,24,21312
100014,30,Late,14,46022
100014,31,Late,19,24347
100014,32,Late,13,6638
100014,33,Late,32,26432
100014,34,Late,12,56912
100014,35,Late,13,23139
100014,36,Late,14,50466
100014,37,Late,23,38659
100014,38,Late,16,47080
100015,1,On-time,4,56180
100015,2,On-time,5,46290
100015,3,On-time,1,9488
100015,4,On-time,0,60811
100015,5,On-time,3,33570
100015,6,On-time,2,33455
100015,7,On-time,6,14096
100015,8,On-time,4,25159
100015,9,On-time,3,11916
100015,10,On-time,2,63366
100015,11,On-time,2,20671
100015,12,On-time,6,55278
100015,13,On-time,1,34077
100015,14,On-time,2,57213
100015,15,On-time,5,46803
100015,16,On-time,0,24236
100015,17,On-time,4,46771
100015,18,On-time,2,6308
100015,19,On-time,6,59281
100015,20,On-time,0,40156
100015,21,On-time,2,7237
100015,22,On-time,2,36626
100015,23,On-time,3,62698
100015,24,On-time,3,59226
100015,25,On-time,6,31152
100015,26,On-time,3,6890
100015,27,On-time,0,22100
100015,28,On-time,3,1906
100015,29,On-time,2,54992
100015,30,On-time,3,34264
100015,31,On-time,3,50717
100015,32,On-time,3,61833
100015,33,On-time,3,34495
100015,34,On-time,2,47437
100015,35,On-time,2,20068
100015,36,On-time,1,11933
100015,37,On-time,3,30877
100016,1,On-time,2,37205
100016,2,On-time,3,26056
100016,3,On-time,7,42406
100016,4,On-time,6,39409
100016,5,On-time,5,51373
100016,6,On-time,1,63244
100016,7,On-time,2,51575
100016,8,On-time,2,23275
100016,9,On-time,0,25541
100016,10,On-time,3,2335
100016,11,On-time,3,53145
100016,12,On-time,2,37247
100016,13,On-time,4,44785
100016,14,On-time,1,46384
100016,15,On-time,3,36692
100016,16,On-time,3,48835
100016,17,On-time,5,17604
100016,18,On-time,4,16427
100017,1,On-time,1,4747
100017,2,On-time,3,63062
100017,3,On-time,5,33474
100017,4,On-time,4,45062
100017,5,On-time,3,6599
100017,6,On-time,3,17887
100017,7,On-time,4,50329
100017,8,On-time,3,23819
100017,9,On-time,3,1911
100017,10,On-time,2,22229
100017,11,On-time,3,21611
100017,12,On-time,4,48066
100017,13,On-time,2,17204
100017,14,On-time,8,11609
100017,15,On-time,2,2856
100017,16,On-time,1,32672
100017,17,On-time,8,9849
100017,18,On-time,2,19484
100017,19,On-time,3,28960
100017,20,On-time,1,57809
100017,21,On-time,3,39974
100017,22,On-time,6,45949
100017,23,On-time,3,56211
100017,24,On-time,2,8696
100017,25,On-time,2,22957
100017,26,On-time,2,53034
100017,27,On-time,4,15049
100017,28,On-time,3,50804
100017,29,On-time,1,11321
100017,30,On-time,5,37064
100017,31,On-time,2,12573
100017,32,On-time,3,8782
100017,33,On-time,3,41219
100017,34,On-time,5,62646
100017,35,On-time,4,20689
100017,36,On-time,6,38348
100017,37,On-time,4,45930
100017,38,On-time,1,10747
100017,39,On-time,4,12271
100017,40,On-time,2,62992
100017,41,On-time,2,45225
100017,42,On-time,5,23734
100018,1,Late,30,12846
100018,2,Late,18,59177
100018,3,On-time,9,16352
100019,1,On-time,1,46614
100019,2,On-time,3,61533
100019,3,On-time,5,22866
100019,4,On-time,6,22245
100019,5,On-time,2,44582
100019,6,On-time,2,56770
100019,7,On-time,3,12853
100019,8,On-time,3,26580
100019,9,On-time,2,20288
100019,10,On-time,1,36469
100019,11,On-time,2,56671
100019,12,On-time,4,62133
100019,13,On-time,1,63425
100019,14,On-time,3,7159
100019,15,On-time,6,35421
100019,16,On-time,5,5661
100019,17,On-time,7,17003
100019,18,On-time,6,28503
100019,19,On-time,3,51988
100019,20,On-time,4,26482
100019,21,On-time,1,4978
100019,22,On-time,2,30120
100019,23,On-time,2,50928
100019,24,On-time,7,57410
100019,25,On-time,7,54132
100019,26,On-time,2,36629
100019,27,On-time,5,28672
100020,1,On-time,1,42522
100020,2,On-time,3,2507
100020,3,On-time,3,28919
100020,4,On-time,3,47983
100020,5,On-time,5,44732
100020,6,On-time,4,11674
100020,7,On-time,3,32380
100020,8,On-time,3,8703
100020,9,On-time,4,61272
100020,10,On-time,4,37992
100020,11,On-time,2,30489
100020,12,On-time,3,28831
100020,13,On-time,6,46194
100021,1,On-time,4,20333
100021,2,On-time,3,16906
100021,3,On-time,4,30836
100021,4,On-time,3,30921
100021,5,On-time,1,37764
100021,6,On-time,1,13280
100021,7,On-time,2,41371
100021,8,On-time,4,13721
100022,1,On-time,4,18738
100022,2,On-time,5,46203
100022,3,On-time,5,61158
100022,4,On-time,1,29276
100022,5,On-time,4,57015
100022,6,On-time,1,64045
100022,7,On-time,4,8204
100022,8,On-time,5,21508
100022,9,On-time,2,16879
100022,10,On-time,2,56098
100022,11,On-time,4,43520
100022,12,On-time,4,10073
100022,13,On-time,4,23915
100022,14,On-time,1,24066
100022,15,On-time,4,2632
100022,16,On-time,3,53128
100022,17,On-time,4,53787
100022,18,On-time,3,49802
100022,19,On-time,2,45298
100022,20,On-time,4,36347
100022,21,On-time,6,2444
100022,22,On-time,4,7340
100022,23,On-time,4,54614
100022,24,On-time,0,40942
100022,25,On-time,0,63045
100022,26,On-time,5,44989
100022,27,On-time,5,46761
100022,28,On-time,3,45778
100022,29,On-time,4,35102
100022,30,On-time,4,21634
100022,31,On-time,3,5684
100022,32,On-time,1,29463
100022,33,On-time,5,8678
100022,34,On-time,1,6668
100022,35,On-time,3,34154
100022,36,On-time,3,6491
100022,37,On-time,4,9646
100022,38,On-time,6,48152
100022,39,On-time,1,6790
100022,40,On-time,2,54890
100022,41,On-time,3,59050
100022,42,On-time,1,26049
100022,43,On-time,4,54186
100022,44,On-time,2,16344
100022,45,On-time,3,52704
100022,46,On-time,3,30382
100022,47,On-time,4,42419
100023,1,On-time,3,46190
100023,2,On-time,3,63268
100023,3,On-time,2,28007
100023,4,On-time,1,9161
100023,5,On-time,3,37689
100023,6,On-time,3,36258
100023,7,On-time,5,14557
100023,8,On-time,4,21740
100023,9,On-time,2,35750
100023,10,On-time,1,36813
100023,11,On-time,3,38488
100023,12,On-time,5,13991
100023,13,On-time,6,61659
100023,14,On-time,3,34910
100023,15,On-time,5,14832
100023,16,On-time,7,63529
100023,17,On-time,1,21802
100023,18,On-time,3,35854
100023,19,On-time,5,20293
100023,20,On-time,3,8004
100023,21,On-time,2,29925
100023,22,On-time,7,31311
100023,23,On-time,2,50706
100023,24,On-time,5,48895
100023,25,On-time,3,31246
100023,26,On-time,3,18725
100023,27,On-time,4,41196
100023,28,On-time,3,32473
100023,29,On-time,4,38855
100024,1,On-time,2,60913
100024,2,On-time,4,39732
100024,3,On-time,6,24604
100024,4,On-time,3,63702
100024,5,On-time,1,18805
100024,6,On-time,7,37360
100024,7,On-time,4,63684
100024,8,On-time,4,7027
100024,9,On-time,0,60354
100024,10,On-time,2,46059
100024,11,On-time,3,15227
100024,12,On-time,2,31467
100024,13,On-time,3,62120
100024,14,On-time,0,25349
100024,15,On-time,3,4219
100024,16,On-time,3,58765
100024,17,On-time,5,50180
100024,18,On-time,2,49735
100024,19,On-time,0,14424
100024,20,On-time,1,10715
100024,21,On-time,3,50803
100024,22,On-time,2,26088
100024,23,On-time,5,26790
100024,24,On-time,3,61994
100024,25,On-time,3,49509
100025,1,On-time,1,44268
100025,2,On-time,4,39257
100025,3,On-time,0,21810
100025,4,On-time,2,19828
100025,5,On-time,5,42897
100025,6,On-time,4,39659
100025,7,On-time,1,56051
100025,8,On-time,3,34490
100025,9,On-time,3,52262
100025,10,On-time,3,9330
100025,11,On-time,1,60804
100025,12,On-time,3,50498
100025,13,On-time,2,55256
100025,14,On-time,6,38268
100025,15,On-time,4,20548
100025,16,On-time,3,51717
100025,17,On-time,1,47755
100025,18,On-time,5,23248
100025,19,On-time,5,60120
100025,20,On-time,6,6893
100025,21,On-time,5,57754
100025,22,On-time,5,25385
100025,23,On-time,2,2103
100025,24,On-time,4,55782
100025,25,On-time,4,7795
100025,26,On-time,2,42648
100025,27,On-time,3,8603
100025,28,On-time,5,26751
100025,29,On-time,0,51289
100025,30,On-time,3,16046
100025,31,On-time,1,60840
100025,32,On-time,3,16956
100025,33,On-time,1,19728
100025,34,On-time,2,16174
100025,35,On-time,4,1546
100025,36,On-time,3,2319
100025,37,On-time,3,38075
100025,38,On-time,2,20906
100025,39,On-time,2,2580
100025,40,On-time,4,4646
100025,41,On-time,1,51929
100025,42,On-time,4,13426
100026,1,On-time,2,14881
100026,2,On-time,1,55558
100026,3,On-time,0,15393
100026,4,On-time,2,29630
100026,5,On-time,3,31915
100027,1,On-time,2,28025
100027,2,On-time,3,37648
100027,3,On-time,2,39957
100027,4,On-time,5,42871
100027,5,On-time,2,60266
100027,6,On-time,3,61825
100027,7,On-time,1,41741
100027,8,On-time,4,3176
100027,9,On-time,0,42058
100027,10,On-time,1,6782
100027,11,On-time,6,27722
100027,12,On-time,3,53363
100027,13,On-time,4,62803
100027,14,On-time,5,14876
100027,15,On-time,8,10931
100027,16,On-time,7,34870
100027,17,On-time,3,3437
100027,18,On-time,3,26005
100027,19,On-time,1,26101
100027,20,On-time,7,41080
100027,21,On-time,8,30755
100027,22,On-time,1,2567
100027,23,On-time,5,14901
100027,24,On-time,3,39520
100027,25,On-time,5,14972
100027,26,On-time,2,56515
100027,27,On-time,3,34647
100027,28,On-time,4,27360
100027,29,On-time,6,56154
100027,30,On-time,1,63308
100027,31,On-time,7,53834
100027,32,On-time,3,21631
100027,33,On-time,4,6696
100027,34,On-time,6,61100
100027,35,On-time,2,23016
100027,36,On-time,0,23924
100027,37,On-time,1,15381
100027,38,On-time,4,32093
100027,39,On-time,3,46387
100027,40,On-time,3,54772
100027,41,On-time,4,43005
100028,1,On-time,2,46528
100028,2,On-time,3,11439
100028,3,On-time,4,45018
100028,4,On-time,1,31454
100028,5,On-time,4,2237
100028,6,On-time,7,22320
100028,7,On-time,1,53631
100028,8,On-time,3,50203
100028,9,On-time,1,44411
100028,10,On-time,4,60625
100028,11,On-time,4,51181
100028,12,On-time,2,13821
100029,1,On-time,3,49972
100029,2,On-time,3,5820
100029,3,On-time,4,4588
100029,4,On-time,2,42956
100029,5,On-time,3,44476
100029,6,On-time,4,10164
100029,7,On-time,3,44348
100029,8,On-time,3,54034
100029,9,On-time,6,42193
100029,10,On-time,1,2660
100029,11,On-time,4,12214
100029,12,On-time,1,5812
100029,13,On-time,1,42655
100029,14,On-time,4,52900
100029,15,On-time,3,22345
100029,16,On-time,1,20650
100029,17,On-time,2,52203
100029,18,On-time,2,36715
100029,19,On-time,2,23528
100029,20,On-time,3,32809
100029,21,On-time,4,38577
100029,22,On-time,7,44848
100029,23,On-time,2,58148
100029,24,On-time,7,61850
100029,25,On-time,0,42578
100029,26,On-time,3,37764
100029,27,On-time,6,35984
100029,28,On-time,2,28959
100029,29,On-time,1,22821
100029,30,On-time,2,53566
100029,31,On-time,6,50000
100029,32,On-time,3,35940
100029,33,On-time,2,43662
100029,34,On-time,6,2955
100029,35,On-time,3,15531
100029,36,On-time,1,47500
100029,37,On-time,3,24429
100029,38,On-time,4,33637
100030,1,On-time,3,41349
100030,2,On-time,1,3871
100030,3,On-time,1,39284
100030,4,On-time,3,40570
100030,5,On-time,2,40650
100030,6,On-time,1,57191
100030,7,On-time,1,46875
100030,8,On-time,1,62762
100030,9,On-time,6,45720
100030,10,On-time,3,24336
100030,11,On-time,1,57044
100030,12,On-time,4,28661
100030,13,On-time,4,22680
100030,14,On-time,2,17365
100030,15,On-time,6,20325
100030,16,On-time,4,28775
100030,17,On-time,1,2517
100030,18,On-time,6,22385
100030,19,On-time,3,37315
100030,20,On-time,2,47760
100030,21,On-time,2,11760
100031,1,Late,15,30898
100031,2,Late,15,37630
100031,3,On-time,7,61263
100031,4,Late,20,45369
100031,5,Late,14,11146
100031,6,Late,19,61171
100031,7,Late,24,61207
100031,8,Late,12,52664
100031,9,Late,18,51752
100031,10,Late,12,26891
100031,11,Late,19,30322
100031,12,On-time,10,50023
100031,13,Late,15,39372
100031,14,Late,12,23499
100031,15,On-time,8,11012
100031,16,On-time,9,30840
100031,17,Late,19,17569
100031,18,Late,17,50574
100031,19,On-time,9,50523
100031,20,Late,15,6002
100031,21,Late,25,61178
100031,22,Late,20,33736
100031,23,Late,20,49520
100031,24,Late,29,25507
100031,25,Late,11,22471
100031,26,On-time,10,59876
100031,27,Late,18,7537
100031,28,Late,24,51807
100031,29,Late,11,43560
100031,30,On-time,9,28861
100031,31,Late,21,15966
100031,32,Late,21,35264
100031,33,Late,23,32083
100031,34,Late,24,11127
100031,35,Late,21,23093
100032,1,On-time,1,16764
100032,2,On-time,1,28115
100032,3,On-time,4,33665
100032,4,On-time,1,48862
100032,5,On-time,4,58444
100032,6,On-time,3,44222
100032,7,On-time,4,36380
100032,8,On-time,5,20094
100032,9,On-time,4,17023
100032,10,On-time,3,3201
100032,11,On-time,5,60930
100032,12,On-time,6,34258
100032,13,On-time,4,36980
100032,14,On-time,2,57115
100032,15,On-time,1,28483
100032,16,On-time,1,36584
100032,17,On-time,1,48927
100032,18,On-time,2,40737
100032,19,On-time,2,35878
100032,20,On-time,3,22236
100032,21,On-time,5,7843
100032,22,On-time,4,17297
100032,23,On-time,2,55357
100032,24,On-time,4,43587
100032,25,On-time,3,23375
100032,26,On-time,1,43364
100032,27,On-time,2,42623
100032,28,On-time,1,10828
100032,29,On-time,3,38978
100032,30,On-time,4,3525
100032,31,On-time,7,1605
100032,32,On-time,4,30870
100032,33,On-time,2,22343
100032,34,On-time,2,20976
100032,35,On-time,3,44481
100032,36,On-time,3,43612
100032,37,On-time,1,50110
100032,38,On-time,3,2198
100032,39,On-time,3,29943
100032,40,On-time,3,45730
100032,41,On-time,3,43206
100032,42,On-time,3,40339
100032,43,On-time,5,23623
100032,44,On-time,3,43420
100032,45,On-time,2,21375
100032,46,On-time,4,4797
100033,1,Late,20,50011
100033,2,Late,22,33723
100033,3,Late,20,32524
100033,4,Late,14,58502
100033,5,Late,21,5441
100033,6,Late,24,9887
100033,7,Late,16,10024
100033,8,Late,21,37359
100033,9,Late,28,38986
100033,10,On-time,9,43117
100033,11,On-time,5,26779
100033,12,Late,18,56204
100033,13,Late,21,55630
100033,14,On-time,7,27525
100033,15,Late,22,19136
100033,16,Late,14,42983
100033,17,On-time,8,44724
100033,18,Late,21,14777
100033,19,Late,26,50218
100033,20,Late,19,36690
100033,21,Late,20,42495
100033,22,Late,30,43235
100033,23,Late,22,50679
100033,24,Late,25,9039
100033,25,Late,19,34353
100033,26,Late,14,28311
100033,27,On-time,9,28428
100033,28,On-time,10,8409
100033,29,Late,16,29569
100033,30,Late,21,54933
100033,31,Late,22,47584
100033,32,Late,21,38921
100033,33,Late,21,9533
100033,34,On-time,9,58316
100034,1,On-time,0,26496
100034,2,On-time,2,28254
100034,3,On-time,3,39797
100034,4,On-time,5,5309
100034,5,On-time,1,47804
100034,6,On-time,4,19050
100034,7,On-time,3,30749
100034,8,On-time,3,42999
100034,9,On-time,7,56920
100034,10,On-time,5,39599
100034,11,On-time,1,22913
100034,12,On-time,3,62343
100034,13,On-time,5,52112
100034,14,On-time,5,6187
100034,15,On-time,6,39625
100034,16,On-time,2,22623
100034,17,On-time,4,34595
100034,18,On-time,6,28935
100034,19,On-time,1,23122
100034,20,On-time,1,11785
100034,21,On-time,1,44591
100034,22,On-time,3,61685
100034,23,On-time,4,26427
100034,24,On-time,2,55784
100034,25,On-time,2,55384
100034,26,On-time,3,54560
100034,27,On-time,5,6791
100034,28,On-time,5,42693
100034,29,On-time,2,49808
100034,30,On-time,5,4622
100034,31,On-time,1,6376
100034,32,On-time,1,20612
100034,33,On-time,4,47974
100034,34,On-time,3,10624
100034,35,On-time,4,58647
100034,36,On-time,4,3323
100034,37,On-time,5,54152
100034,38,On-time,0,38341
100035,1,On-time,5,6478
100035,2,On-time,2,42966
100035,3,On-time,3,56789
100035,4,On-time,4,15273
100035,5,On-time,1,62969
100035,6,On-time,7,52584
100035,7,On-time,2,7674
100035,8,On-time,1,23296
100035,9,On-time,1,51848
100035,10,On-time,1,13377
100035,11,On-time,3,55899
100035,12,On-time,4,54833
100035,13,On-time,5,19222
100035,14,On-time,5,24055
100035,15,On-time,5,48725
100035,16,On-time,2,15062
100035,17,On-time,5,53272
100035,18,On-time,5,8046
100036,1,On-time,7,24898
100036,2,On-time,3,15870
100036,3,On-time,2,30017
100036,4,On-time,7,30359
100036,5,On-time,2,2747
100036,6,On-time,2,26064
100036,7,On-time,1,61534
100036,8,On-time,5,54609
100036,9,On-time,1,47518
100036,10,On-time,0,8611
100036,11,On-time,2,22473
100036,12,On-time,3,36154
100036,13,On-time,2,1810
100036,14,On-time,4,12260
